"Historical price chart data"
"Date: 01/01/2016 - 02/09/2016"
"AEX-INDEX"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"NL0000000107","Euronext Amsterdam","19/05/2016","432.26","432.26","427.20","428.27","0.00","0.00","1479559281.92","EUR"
"NL0000000107","Euronext Amsterdam","20/05/2016","432.31","434.52","432.02","434.36","0.00","0.00","1602431489.39","EUR"
"NL0000000107","Euronext Amsterdam","23/05/2016","434.17","435.75","430.47","432.57","0.00","0.00","1079727830.26","EUR"
"NL0000000107","Euronext Amsterdam","24/05/2016","431.71","443.06","430.54","441.66","0.00","0.00","1449880879.71","EUR"
"NL0000000107","Euronext Amsterdam","25/05/2016","445.21","448.55","444.08","447.22","0.00","0.00","1430605990.46","EUR"
"NL0000000107","Euronext Amsterdam","26/05/2016","446.60","449.48","446.60","449.09","0.00","0.00","1411108732.63","EUR"
"NL0000000107","Euronext Amsterdam","27/05/2016","448.31","450.94","448.13","450.94","0.00","0.00","1254501867.18","EUR"
"NL0000000107","Euronext Amsterdam","30/05/2016","451.72","451.84","449.35","451.79","0.00","0.00","554968088.40","EUR"
"NL0000000107","Euronext Amsterdam","31/05/2016","452.42","453.07","447.31","447.87","0.00","0.00","2232875580.55","EUR"
"NL0000000107","Euronext Amsterdam","01/06/2016","447.14","448.42","444.14","446.78","0.00","0.00","1485023832.72","EUR"
"NL0000000107","Euronext Amsterdam","02/06/2016","447.39","449.83","446.44","447.59","0.00","0.00","1310408207.82","EUR"
"NL0000000107","Euronext Amsterdam","03/06/2016","449.53","452.08","443.13","445.31","0.00","0.00","1252914370.41","EUR"
"NL0000000107","Euronext Amsterdam","06/06/2016","445.18","447.96","445.18","446.44","0.00","0.00","961121547.14","EUR"
"NL0000000107","Euronext Amsterdam","07/06/2016","447.96","452.18","447.75","451.58","0.00","0.00","1457635865.32","EUR"
"NL0000000107","Euronext Amsterdam","08/06/2016","450.10","451.25","448.88","450.15","0.00","0.00","1227140643.03","EUR"
"NL0000000107","Euronext Amsterdam","09/06/2016","449.31","449.34","444.60","446.10","0.00","0.00","1159007423.04","EUR"
"NL0000000107","Euronext Amsterdam","10/06/2016","444.75","444.77","435.63","435.77","0.00","0.00","1457648923.04","EUR"
"NL0000000107","Euronext Amsterdam","13/06/2016","430.86","432.30","427.69","428.20","0.00","0.00","1438961686.29","EUR"
"NL0000000107","Euronext Amsterdam","14/06/2016","422.79","424.47","418.77","419.08","0.00","0.00","1801172163.78","EUR"
"NL0000000107","Euronext Amsterdam","15/06/2016","422.80","424.20","419.55","419.55","0.00","0.00","1742510686.46","EUR"
"NL0000000107","Euronext Amsterdam","16/06/2016","415.16","419.40","414.51","418.51","0.00","0.00","1632293235.12","EUR"
"NL0000000107","Euronext Amsterdam","17/06/2016","421.56","423.79","419.64","421.77","0.00","0.00","3794803322.04","EUR"
"NL0000000107","Euronext Amsterdam","20/06/2016","432.20","437.92","431.89","436.50","0.00","0.00","1789907386.81","EUR"
"NL0000000107","Euronext Amsterdam","21/06/2016","436.01","442.03","434.90","440.39","0.00","0.00","1379932269.38","EUR"
"NL0000000107","Euronext Amsterdam","22/06/2016","443.23","444.51","439.94","441.25","0.00","0.00","1301726228.97","EUR"
"NL0000000107","Euronext Amsterdam","23/06/2016","443.64","453.30","442.98","449.86","0.00","0.00","1707950423.88","EUR"
"NL0000000107","Euronext Amsterdam","24/06/2016","420.56","432.59","409.23","424.20","0.00","0.00","4692827500.55","EUR"
"NL0000000107","Euronext Amsterdam","27/06/2016","419.21","422.77","410.21","411.62","0.00","0.00","2865783618.34","EUR"
"NL0000000107","Euronext Amsterdam","28/06/2016","420.23","421.64","416.97","417.51","0.00","0.00","2039573479.63","EUR"
"NL0000000107","Euronext Amsterdam","29/06/2016","422.88","430.08","422.43","430.08","0.00","0.00","1818579857.95","EUR"
"NL0000000107","Euronext Amsterdam","30/06/2016","429.58","436.63","427.76","435.88","0.00","0.00","2117241572.68","EUR"
"NL0000000107","Euronext Amsterdam","01/07/2016","438.36","440.30","434.06","438.85","0.00","0.00","1591919338.28","EUR"
"NL0000000107","Euronext Amsterdam","04/07/2016","440.23","440.43","434.19","435.12","0.00","0.00","991249420.38","EUR"
"NL0000000107","Euronext Amsterdam","05/07/2016","431.95","433.94","429.00","430.41","0.00","0.00","1565503175.37","EUR"
"NL0000000107","Euronext Amsterdam","06/07/2016","427.38","430.46","419.45","422.18","0.00","0.00","1885998401.90","EUR"
"NL0000000107","Euronext Amsterdam","07/07/2016","424.67","429.17","424.67","426.33","0.00","0.00","1256582123.21","EUR"
"NL0000000107","Euronext Amsterdam","08/07/2016","425.43","434.60","424.30","433.77","0.00","0.00","1576716906.83","EUR"
"NL0000000107","Euronext Amsterdam","11/07/2016","437.96","441.21","435.08","440.75","0.00","0.00","1432445492.49","EUR"
"NL0000000107","Euronext Amsterdam","12/07/2016","441.13","446.16","441.12","445.44","0.00","0.00","1669953859.53","EUR"
"NL0000000107","Euronext Amsterdam","13/07/2016","444.70","447.76","444.45","444.45","0.00","0.00","1538817491.84","EUR"
"NL0000000107","Euronext Amsterdam","14/07/2016","448.31","451.08","447.02","448.19","0.00","0.00","1610491942.82","EUR"
"NL0000000107","Euronext Amsterdam","15/07/2016","447.13","448.70","444.93","447.51","0.00","0.00","1811817322.37","EUR"
"NL0000000107","Euronext Amsterdam","18/07/2016","447.69","450.80","446.19","448.32","0.00","0.00","1241449635.39","EUR"
"NL0000000107","Euronext Amsterdam","19/07/2016","447.59","448.47","444.32","447.85","0.00","0.00","1331365083.85","EUR"
"NL0000000107","Euronext Amsterdam","20/07/2016","450.57","453.46","448.36","452.18","0.00","0.00","1424442164.54","EUR"
"NL0000000107","Euronext Amsterdam","21/07/2016","453.69","454.49","448.85","451.97","0.00","0.00","1481113215.94","EUR"
"NL0000000107","Euronext Amsterdam","22/07/2016","451.22","453.82","449.30","453.35","0.00","0.00","1198735372.18","EUR"
"NL0000000107","Euronext Amsterdam","25/07/2016","453.56","456.37","451.50","452.84","0.00","0.00","1304897261.47","EUR"
"NL0000000107","Euronext Amsterdam","26/07/2016","452.42","454.79","450.29","454.06","0.00","0.00","1420151573.28","EUR"
"NL0000000107","Euronext Amsterdam","27/07/2016","455.38","456.78","452.61","452.98","0.00","0.00","1534041507.30","EUR"
"NL0000000107","Euronext Amsterdam","28/07/2016","451.26","453.41","447.82","447.82","0.00","0.00","1756148569.68","EUR"
"NL0000000107","Euronext Amsterdam","29/07/2016","449.16","450.16","446.78","449.83","0.00","0.00","1876006803.78","EUR"
"NL0000000107","Euronext Amsterdam","01/08/2016","451.45","451.67","444.08","444.97","0.00","0.00","1435479088.58","EUR"
"NL0000000107","Euronext Amsterdam","02/08/2016","443.22","444.15","437.85","438.61","0.00","0.00","1728673767.43","EUR"
"NL0000000107","Euronext Amsterdam","03/08/2016","440.64","441.67","437.85","440.36","0.00","0.00","1725838791.72","EUR"
"NL0000000107","Euronext Amsterdam","04/08/2016","441.97","446.03","441.42","444.47","0.00","0.00","1562662487.77","EUR"
"NL0000000107","Euronext Amsterdam","05/08/2016","444.47","449.49","444.29","448.12","0.00","0.00","1426519239.62","EUR"
"NL0000000107","Euronext Amsterdam","08/08/2016","448.71","450.30","447.96","449.07","0.00","0.00","1146294721.86","EUR"
"NL0000000107","Euronext Amsterdam","09/08/2016","449.18","453.95","449.13","453.80","0.00","0.00","1242535458.09","EUR"
"NL0000000107","Euronext Amsterdam","10/08/2016","452.09","453.94","451.47","452.01","0.00","0.00","1310614623.17","EUR"
"NL0000000107","Euronext Amsterdam","11/08/2016","452.57","455.50","449.62","455.50","0.00","0.00","1217961428.28","EUR"
"NL0000000107","Euronext Amsterdam","12/08/2016","455.03","456.29","453.60","454.09","0.00","0.00","966879785.02","EUR"
"NL0000000107","Euronext Amsterdam","15/08/2016","454.88","456.44","453.99","454.51","0.00","0.00","833890020.48","EUR"
"NL0000000107","Euronext Amsterdam","16/08/2016","452.49","454.44","450.91","451.40","0.00","0.00","1175698354.69","EUR"
"NL0000000107","Euronext Amsterdam","17/08/2016","451.03","451.55","446.35","447.57","0.00","0.00","1338902595.44","EUR"
"NL0000000107","Euronext Amsterdam","18/08/2016","451.13","451.74","450.09","451.69","0.00","0.00","1214770324.50","EUR"
"NL0000000107","Euronext Amsterdam","19/08/2016","450.91","451.18","446.92","448.72","0.00","0.00","1566559463.30","EUR"
"NL0000000107","Euronext Amsterdam","22/08/2016","448.04","451.92","446.12","447.63","0.00","0.00","1124465885.77","EUR"
"NL0000000107","Euronext Amsterdam","23/08/2016","449.42","453.34","449.21","452.18","0.00","0.00","1162771764.54","EUR"
"NL0000000107","Euronext Amsterdam","24/08/2016","449.67","454.17","448.46","452.17","0.00","0.00","1109110136.62","EUR"
"NL0000000107","Euronext Amsterdam","25/08/2016","450.43","450.91","447.96","449.94","0.00","0.00","1121780883.92","EUR"
"NL0000000107","Euronext Amsterdam","26/08/2016","449.45","453.71","448.43","453.01","0.00","0.00","1052791558.67","EUR"
"NL0000000107","Euronext Amsterdam","29/08/2016","451.29","452.72","448.55","452.15","0.00","0.00","616772117.58","EUR"
"NL0000000107","Euronext Amsterdam","30/08/2016","453.73","457.70","453.37","455.82","0.00","0.00","1159406965.57","EUR"
"NL0000000107","Euronext Amsterdam","31/08/2016","455.56","457.92","454.22","454.38","0.00","0.00","1491556793.28","EUR"
"NL0000000107","Euronext Amsterdam","01/09/2016","455.72","458.68","452.50","453.87","0.00","0.00","1508548994.53","EUR"
"NL0000000107","Euronext Amsterdam","02/09/2016","455.31","464.47","454.25","463.60","0.00","0.00","1804523202.73","EUR"
